player,pos,team,status,injury,depth
Jamal Agnew,WR,WAS,,,5
Ahmani Marshall,RB,CLE,,,4
Hayden Rucci,TE,SF,,,5
Josh Johnson,QB,WAS,,,3
Xavier Hutchinson,WR,HOU,,,4
Parris Campbell,WR,DAL,,,6
Adam Thielen,WR,PIT,,,3
Brevyn Spann-Ford,TE,DAL,,,2
Alex Bachman,WR,LV,,,6
Xavier Johnson,WR,CIN,,,7
Dillon Gabriel,QB,CLE,,,2
Davis Mills,QB,HOU,,,2
Nick Vannett,TE,LA,,,5
Sincere McCormick,RB,LV,,,4
Scotty Miller,WR,PIT,,,5
Ian Wheeler,RB,CHI,,,6
Mason Kinsey,WR,TEN,,,5
Patrick Taylor Jr.,RB,SF,,,4
Russell Gage Jr.,WR,SF,,,6
Thomas Gordon,TE,DET,,,5
Kimani Vidal,RB,LAC,,,2
Xazavian Valladay,RB,MIN,,,5
Montorie Foster Jr.,WR,SEA,,,8
Cody Schrader,RB,DEN,,,5
KJ Hamler,WR,BUF,,,8
Van Jefferson,WR,WAS,,,6
AJ Dillon,RB,PHI,,,4
Michael Gallup,WR,WAS,,,7
Michael Strachan,WR,WAS,,,10
Da'Quan Felton,WR,NYG,,,8
DeeJay Dallas,RB,JAX,,,4
Trent Sherfield Sr.,WR,ARI,,,6
Jalin Conyers,TE,MIA,,,3
Hendon Hooker,QB,NYJ,,,4
Thayer Thomas,WR,MIN,,,6
Austin Ekeler,RB,WAS,,,3
Gary Brightwell,RB,CIN,,,4
Miles Boykin,WR,CHI,,,6
Eli Pancol,WR,IND,,,7
Jeremy McNichols,RB,WAS,,,4
Julian Hill,TE,NE,,,2
Marquez Callaway,WR,LV,,,9
Andrew Armstrong,WR,KC,,,8
Nick Muse,TE,PHI,,,5
Marquez Valdes-Scantling,WR,PIT,,,4
Michael Wilson,WR,ARI,,,2
Zach Wilson,QB,MIA,,,3
Joe Mixon,RB,HOU,,,3
Lil'Jordan Humphrey,WR,DEN,,,5
Tip Reiman,TE,ARI,,,2
Jordan Addison,WR,MIN,,,2
Demarcus Robinson,WR,SF,,,3
Hunter Long,TE,JAX,,,3
Quinn Ewers,QB,MIA,,,2
Simi Fehoko,WR,ARI,,,6
Tre' McKitty,TE,HOU,,,6
Craig Reynolds,RB,DET,,,4
Tim Boyle,QB,TEN,,,3
Cole Burgess,WR,PIT,,,5
Josh Williams,RB,TB,,,4
Tyler Johnson,WR,NYJ,,,6
Isaiah Bond,WR,CLE,,,3
Juice Wells Jr.,WR,NYG,,,9
Colson Yankoff,TE,WAS,,,4
D'Ernest Johnson,RB,NE,,,3
Dawson Knox,TE,BUF,,,2
Kareem Hunt,RB,KC,,,3
Sterling Shepard,WR,TB,,,6
Nate Sudfeld,QB,SF,,,5
Cole Turner,TE,MIA,,,4
Qadir Ismail,TE,CHI,,,5
Mike White,QB,CAR,,,3
Caden Prieskorn,TE,CLE,,,5
Ja'Quinden Jackson,RB,JAX,,,5
Luke Grimm,WR,LAC,,,7
Phillip Dorsett II,WR,LV,,,7
Easton Stick,QB,ATL,,,3
Jaleel McLaughlin,RB,DEN,,,3
Dontae Fleming,WR,MIN,,,6
Tory Horton,WR,SEA,,,4
Olamide Zaccheaus,WR,ATL,,,3
Jashaun Corbin,RB,ATL,,,5
Tanner McLachlan,TE,LAC,,,3
Caleb Lohner,TE,DEN,,,5
Layne Pryor,TE,HOU,,,6
Tejhaun Palmer,WR,ARI,,,8
Hal Presley,WR,TEN,,,8
Mitchell Tinsley,WR,CIN,,,4
Bryce Oliver,WR,TEN,,,6
Ty Chandler,RB,MIN,,,3
Jonathan Mingo,WR,DAL,,,5
Jermar Jefferson,RB,ARI,,,4
Kisean Johnson,WR,CLE,,,11
K.J. Osborn,WR,WAS,,,5
Clyde Edwards-Helaire,RB,KC,,,5
Lucas Krull,TE,DEN,,,4
Ke'Shawn Vaughn,RB,SF,,,5
Chris Collier,RB,LV,,,3
Kyle Philips,WR,LV,,,8
A.T. Perry,WR,PIT,,,9
Damien Martinez,RB,GB,,,5
Tarik Black,WR,MIA,,,8
Darius Cooper,WR,PHI,,,4
Ryan Miller,WR,NYG,,,11
Bryson Nesbit,TE,MIN,,,5
Ben DiNucci,QB,ATL,,,4
Kyle Allen,QB,BUF,,,2
Jeff Driskel,QB,WAS,,,4
Brashard Smith,RB,KC,,,3
Deon Cain,WR,BUF,,,10
Cedric Tillman,WR,CLE,,,2
Keenan Allen,WR,LAC,,,3
Tyler Davis,TE,NE,,,6
David Sills V,WR,ATL,,,4
Derius Davis,WR,LAC,,,5
Tay Martin,WR,WAS,,,7
Owen Wright,RB,TB,,,5
Malik Taylor,WR,DET,,,10
Zach Davidson,TE,NYG,,,4
MarShawn Lloyd,RB,GB,,,3
Thomas Yassmin,TE,LAC,,,4
Sam Hartman,QB,WAS,,,3
Jalen Reagor,WR,LAC,,,7
Dalen Cambre,WR,NYG,,,9
Tyrone Broden,WR,SEA,,,7
Salvon Ahmed,RB,IND,,,3
Mason Tipton,WR,NO,,,3
JP Richardson,WR,CHI,,,6
Coleman Owen,WR,IND,,,6
Myles Gaskin,RB,SEA,,,4
Isaiah Williams,WR,NYJ,,,3
Ja'Corey Brooks,WR,WAS,,,8
Mitchell Evans,TE,CAR,,,3
Anthony Miller,WR,BAL,,,7
D.J. Williams,RB,TB,,,6
Thomas Odukoya,TE,TEN,,,4
Cam Miller,QB,MIA,,,3
Blake Watson,RB,TEN,,,4
Elijah Higgins,TE,ARI,,,3
Dalevon Campbell,WR,LAC,,,6
Brandon Allen,QB,TEN,,,4
Devin Leary,QB,BAL,,,3
Brenden Rice,WR,LV,,,9
Jameson Williams,WR,DET,,,2
Ian Thomas,TE,LV,,,3
Jaydon Blue,RB,DAL,,,3
Russell Wilson,QB,NYG,,,3
Quentin Johnston,WR,LAC,,,2
Cornell Powell,WR,HOU,,,11
Drew Sample,TE,CIN,,,3
Chris Rodriguez Jr.,RB,JAX,,,2
Malik Davis,RB,DAL,,,2
Quentin Skinner,WR,NYJ,,,6
Mack Hollins,WR,NE,,,3
Jalen Nailor,WR,LV,,,2
Khalil Herbert,RB,NYJ,,,4
Irv Smith Jr.,TE,HOU,,,6
Hunter Renfrow,WR,CAR,,,6
Jordan Murray,TE,CHI,,,7
Tyree Jackson,TE,WAS,,,4
Jeshaun Jones,WR,MIN,,,4
Alexander Mattison,RB,MIA,,,4
Terrace Marshall Jr.,WR,MIA,,,7
Tahj Brooks,RB,CIN,,,3
Kyle McCord,QB,GB,,,3
Noah Fant,TE,NO,,,2
D.J. Montgomery,WR,IND,,,6
Diontae Johnson,WR,CLE,,,4
Harrison Bryant,TE,HOU,,,4
Will Howard,QB,PIT,,,2
Kendall Milton,RB,CIN,,,5
Jaret Patterson,RB,LAC,,,4
Pat Bryant,WR,DEN,,,3
Jacoby Jones,WR,WAS,,,7
Devontez Walker,WR,BAL,,,3
Mecole Hardman Jr.,WR,BUF,,,6
Bam Knight,RB,ARI,,,4
Jamari Thrash,WR,CLE,,,5
John Jackson,WR,CHI,,,10
Tommy Mellott,WR,LV,,,7
Amari Cooper,WR,LV,,,2
Jacob Cowing,WR,SF,,,5
Dominique Dafney,TE,CAR,,,6
Nathan Carter,RB,ATL,,,2
Philip Rivers,QB,IND,,,5
Jimmy Holiday,WR,KC,,,7
Deuce Vaughn,RB,DEN,,,6
Dante Miller,RB,NYG,,,5
Rakim Jarrett,WR,TB,,,8
Keaontay Ingram,RB,KC,,,3
Dameon Pierce,RB,KC,,,5
Deneric Prince,RB,NE,,,6
Jordan Mason,RB,MIN,,,2
Cameron Latu,TE,PHI,,,3
John Jiles,WR,NE,,,8
Blake Corum,RB,LA,,,2
Jalen Coker,WR,CAR,,,2
Xavier Smith,WR,LA,,,5
Jeremy Ruckert,TE,NYJ,,,2
Pierre Strong Jr.,RB,GB,,,4
Britain Covey,WR,PHI,,,5
Zach Pascal,WR,NYG,,,8
Jaden Smith,WR,TB,,,6
Javon Baker,WR,NE,,,8
Andy Dalton,QB,CAR,,,3
Rashid Shaheed,WR,SEA,,,3
Najee Harris,RB,LAC,,,3
Joshua Simon,TE,ATL,,,4
Chase Cota,WR,CLE,,,12
Kalif Raymond,WR,CHI,,,4
Deon Jackson,RB,DET,,,6
Stephen Carlson,TE,CHI,,,3
Jaheim Bell,TE,PHI,,,5
Durham Smythe,TE,BAL,,,2
Hunter Dekkers,QB,NO,,,4
Luke McCaffrey,WR,WAS,,,2
Sean Clifford,QB,CIN,,,2
Michael Woods II,WR,CLE,,,14
Tyjae Spears,RB,TEN,,,2
DJ Giddens,RB,IND,,,2
Devin Neal,RB,NO,,,4
Ray-Ray McCloud III,WR,NYG,,,3
Jake Haener,QB,KC,,,3
Jordan Mims,RB,TEN,,,3
Davante Adams,WR,LA,,,2
Michael Jacobson,TE,NO,,,5
Roman Wilson,WR,PIT,,,4
Garrett Greene,WR,TB,,,8
Kayshon Boutte,WR,NE,,,2
Will Dissly,TE,LAC,,,3
John Metchie III,WR,CAR,,,5
Braylon Sanders,WR,WAS,,,12
Anthony Tyus III,RB,CAR,,,5
Jarquez Hunter,RB,LA,,,3
Erick All Jr.,TE,CIN,,,2
Raheem Mostert,RB,LV,,,2
Kenny Yeboah,TE,DET,,,5
Kameron Johnson,WR,TB,,,5
Jesse Matthews,WR,ATL,,,11
Nick Chubb,RB,HOU,,,3
Kenneth Gainwell,RB,TB,,,2
Bryce Pierre,TE,CAR,,,5
Josh Kelly,WR,HOU,,,7
Calvin Austin III,WR,NYG,,,3
Ainias Smith,WR,CAR,,,9
Nick Westbrook-Ikhine,WR,MIA,,,8
Gunner Olszewski,WR,NYG,,,7
Keith Kirkwood,WR,BAL,,,7
Zay Jones,WR,ARI,,,5
Equanimeous St. Brown,WR,SF,,,13
Jack Westover,TE,NE,,,3
Jalen Virgil,WR,BUF,,,7
Jakobi Meyers,WR,JAX,,,2
Stetson Bennett IV,QB,LA,,,2
Drew Lock,QB,SEA,,,2
Kurtis Rourke,QB,SF,,,3
Michael Wiley,RB,TB,,,6
Josiah Deguara,TE,ARI,,,5
Kendrick Bourne,WR,ARI,,,3
Dylan Sampson,RB,CLE,,,2
Trevor Siemian,QB,TEN,,,3
Tank Bigsby,RB,PHI,,,2
Jase McClellan,RB,TB,,,6
Justin Fields,QB,NYJ,,,2
John Bates,TE,WAS,,,2
Ben Yurosek,TE,MIN,,,4
Logan Woodside,QB,PIT,,,5
J.J. McCarthy,QB,MIN,,,2
Jimmy Garoppolo,QB,LA,,,2
Davis Allen,TE,LA,,,4
Brady Cook,QB,NYJ,,,3
Terique Owens,WR,SF,,,11
Sean McKeon,TE,IND,,,4
Devin Culp,TE,TB,,,3
Courtney Jackson,WR,NYG,,,12
Deshaun Watson,QB,CLE,,,3
Tyrion Davis-Price,RB,GB,,,7
Tyson Bagent,QB,CHI,,,2
Jalen Tolbert,WR,MIA,,,3
Charlie Woerner,TE,ATL,,,3
Jimmy Horn Jr.,WR,CAR,,,4
Kyle Trask,QB,TB,,,3
Johnny Lumpkin,TE,GB,,,6
Trey Palmer,WR,NO,,,6
Ja'seem Reed,WR,CAR,,,10
Austin Hooper,TE,ATL,,,2
Kevin Harris,RB,JAX,,,5
Khalil Shakir,WR,BUF,,,2
Sam Ehlinger,QB,DEN,,,3
Stephen Gosnell,WR,BUF,,,8
Trevor Etienne,RB,CAR,,,3
Kirk Cousins,QB,ATL,,,2
Travis Homer,RB,CHI,,,4
Cole Fotheringham,TE,NE,,,7
Nick Nash,WR,WAS,,,9
Cody White,WR,SEA,,,6
Brittain Brown,RB,CHI,,,4
Ja'Lynn Polk,WR,NO,,,7
Joe Flacco,QB,CIN,,,2
Joe Milton III,QB,DAL,,,2
Chris Moore,WR,WAS,,,7
Brett Rypien,QB,MIN,,,5
Trishton Jackson,WR,ARI,,,7
Troy Franklin,WR,DEN,,,2
Chase Edmonds,RB,WAS,,,5
Keon Coleman,WR,BUF,,,4
Xavier Restrepo,WR,TEN,,,7
Connor Bazelak,QB,TB,,,3
Teagan Quitoriano,TE,ATL,,,4
Jonnu Smith,TE,PIT,,,2
Ko Kieft,TE,TB,,,4
Dyami Brown,WR,WAS,,,3
Kevin Foelsch,TE,PIT,,,6
Bryce Perkins,QB,CAR,,,4
Jack Bech,WR,LV,,,3
Treyton Welch,TE,NO,,,5
Beaux Collins,WR,NYG,,,4
Ihmir Smith-Marsette,WR,ARI,,,10
Rasheen Ali,RB,BAL,,,3
Tyrone Tracy Jr.,RB,NYG,,,2
Ricky White III,WR,SEA,,,6
Elijah Mitchell,RB,NE,,,4
Tanner Hudson,TE,CIN,,,4
KaVontae Turpin,WR,DAL,,,4
Will Mallory,TE,IND,,,2
Kenny Pickett,QB,CAR,,,2
Neal Johnson,TE,NYJ,,,5
Chris Blair,WR,ATL,,,7
Nyheim Hines,RB,NO,,,4
Cooper Rush,QB,BAL,,,3
Anthony Richardson Sr.,QB,IND,,,2
Bub Means,WR,NO,,,4
Efton Chism III,WR,NE,,,6
Jaylen Johnson,WR,LAC,,,8
Rivaldo Fairweather,TE,ARI,,,4
Samaje Perine,RB,CIN,,,2
Tanner Taula,TE,TB,,,5
Nick Kallerup,TE,SEA,,,4
Justin Shorter,WR,LV,,,8
CJ Dippre,TE,NE,,,3
Jalen McMillan,WR,TB,,,3
Miles Sanders,RB,DAL,,,4
Jalen Milroe,QB,SEA,,,3
Shane Buechele,QB,BUF,,,3
Ben Skowronek,WR,PIT,,,3
Matt Sokol,TE,BUF,,,6
Albert Okwuegbunam Jr.,TE,LV,,,4
John Wolford,QB,MIN,,,4
Jackson Meeks,WR,DET,,,5
Mike Boone,RB,MIA,,,4
Collin Johnson,WR,LV,,,6
Pharaoh Brown,TE,ARI,,,6
Tez Johnson,WR,TB,,,4
Amar Johnson,RB,LAC,,,5
Michael Pratt,QB,TB,,,4
Max Hurleman,WR,PIT,,,7
Arian Smith,WR,NYJ,,,4
Brevin Jordan,TE,HOU,,,2
Joshua Cephus,WR,JAX,,,6
Brandin Cooks,WR,BUF,,,6
Isaiah Neyor,WR,GB,,,9
Velus Jones Jr.,RB,SEA,,,5
Kyle Monangai,RB,CHI,,,2
Payne Durham,TE,TB,,,2
Dylan Drummond,WR,ATL,,,4
Dayton Wade,WR,BAL,,,5
Tyrod Taylor,QB,NYJ,,,2
JJ Galbreath,TE,PIT,,,3
Parker Washington,WR,JAX,,,3
Marshall Lang,TE,NE,,,4
JaMycal Hasty,RB,NE,,,5
Brycen Tremayne,WR,CAR,,,6
Tyler Allgeier,RB,ARI,,,2
Daniel Bellinger,TE,TEN,,,2
John Stephens Jr.,TE,DAL,,,4
Tahj Washington,WR,MIA,,,6
JuJu Smith-Schuster,WR,KC,,,4
Jeremiah Webb,WR,NE,,,7
Xavier Worthy,WR,KC,,,2
Elijah Moore,WR,DEN,,,6
Emanuel Wilson,RB,SEA,,,2
Cedrick Wilson Jr.,WR,MIA,,,3
JaQuae Jackson,WR,LAC,,,8
Woody Marks,RB,HOU,,,2
Zach Horton,TE,DET,,,4
Kyle Williams,WR,NE,,,5
Seth Green,TE,NO,,,8
Tyler Scott,WR,LA,,,9
Corey Kiner,RB,ARI,,,5
Kendre Miller,RB,NO,,,3
Laquon Treadwell,WR,IND,,,5
Charlie Kolar,TE,LAC,,,2
Jamaal Pritchett,WR,NYJ,,,7
Travis Vokolek,TE,ARI,,,4
Jalin Hyatt,WR,NYG,,,6
Jacob Harris,WR,TB,,,10
Lucky Jackson,WR,MIN,,,5
Desmond Ridder,QB,GB,,,2
Jake Tonges,TE,SF,,,2
DeMario Douglas,WR,NE,,,4
Demetric Felton,RB,WAS,,,6
Casey Washington,WR,ATL,,,6
John Rhys Plumlee,WR,PIT,,,6
Austin Reed,QB,CHI,,,4
Ameer Abdullah,RB,IND,,,2
Kendric Pryor,WR,CIN,,,10
Jack Stoll,TE,CLE,,,2
Kylen Granson,TE,TEN,,,3
Adonai Mitchell,WR,NYJ,,,2
Ben Sims,TE,MIA,,,2
DeAndre Carter,WR,CLE,,,4
Andrei Iosivas,WR,CIN,,,3
Kaleb Johnson,RB,PIT,,,3
Jakobie Keeney-James,WR,GB,,,8
Gage Larvadain,WR,CLE,,,6
Moliki Matavao,TE,NO,,,4
Zack Kuntz,TE,MIA,,,5
Noah Gray,TE,KC,,,2
Junior Bergen,WR,SF,,,8
J.J. Taylor,RB,HOU,,,7
Dont'e Thornton Jr.,WR,LV,,,4
Kenny McIntosh,RB,SEA,,,4
Chris Brooks,RB,GB,,,2
Bryson Green,WR,ARI,,,9
Jameis Winston,QB,NYG,,,2
Adam Trautman,TE,DEN,,,2
Lew Nichols,RB,PIT,,,4
Jonathon Brooks,RB,CAR,,,2
Josh Oliver,TE,MIN,,,2
Steven Sims,WR,ARI,,,4
Brandon Johnson,WR,PIT,,,6
Marcedes Lewis,TE,DEN,,,4
Dan Chisena,WR,CAR,,,8
Josh Whyle,TE,GB,,,3
Bryce Ford-Wheaton,WR,NYG,,,7
Robert Woods,WR,PIT,,,3
Brock Wright,TE,DET,,,2
Isaac TeSlaa,WR,DET,,,3
Jeff Wilson Jr.,RB,MIA,,,5
Nikola Kalinic,TE,CHI,,,4
Aaron Shampklin,RB,MIA,,,5
Brayden Willis,TE,SF,,,4
Joshua Dobbs,QB,NE,,,2
Braelon Allen,RB,NYJ,,,2
Clayton Tune,QB,GB,,,3
Maximilian Mang,TE,IND,,,7
Tyler Higbee,TE,LA,,,2
Charlie Jones,WR,CIN,,,5
Stone Smartt,TE,NYJ,,,3
Raheem Blackshear,RB,NYJ,,,4
Tre Watson,TE,KC,,,5
Cam Akers,RB,SEA,,,6
Jahan Dotson,WR,ATL,,,2
Brandon Aiyuk,WR,SF,,,9
Jarrett Stidham,QB,DEN,,,2
Jason Brownlee,WR,KC,,,6
DJ Uiagalelei,QB,LAC,,,2
Eric Gray,RB,NYG,,,4
Nikko Remigio,WR,KC,,,4
Sean Tucker,RB,TB,,,3
McCallan Castles,TE,GB,,,6
Ben Sinnott,TE,WAS,,,3
Montrell Washington,WR,NYG,,,9
Marvin Mims Jr.,WR,DEN,,,4
Cornelius Johnson,WR,BAL,,,6
Riley Leonard,QB,IND,,,3
Jordan Whittington,WR,LA,,,4
Allen Lazard,WR,NYJ,,,4
Trey Lance,QB,LAC,,,2
Princeton Fant,TE,DAL,,,4
Mitchell Trubisky,QB,TEN,,,2
Gabe Davis,WR,BUF,,,7
James Proche II,WR,TEN,,,6
Carson Wentz,QB,MIN,,,2
Tank Dell,WR,HOU,,,3
Luke Schoonmaker,TE,DAL,,,3
RJ Harvey,RB,DEN,,,2
Curtis Samuel,WR,BUF,,,8
Zaire Mitchell-Paden,TE,NO,,,3
Chris Oladokun,QB,KC,,,2
Theo Wease Jr.,WR,MIA,,,5
Joel Wilson,TE,TEN,,,5
Adrian Martinez,QB,SF,,,4
Rashod Bateman,WR,BAL,,,2
Julian Hicks,WR,GB,,,9
Gardner Minshew,QB,ARI,,,2
Shedrick Jackson,WR,LV,,,6
AJ Henning,WR,MIA,,,8
Jared Wayne,WR,HOU,,,8
Ulysses Bentley IV,RB,IND,,,3
Lawrence Cager,TE,WAS,,,5
Carlos Washington Jr.,RB,ATL,,,3
Darnell Washington,TE,PIT,,,2
Malik Turner,WR,SF,,,6
Thomas Fidone II,TE,NYG,,,4
Kazmeir Allen,RB,WAS,,,5
Malik Heath,WR,ATL,,,8
Jaylin Noel,WR,HOU,,,5
Jahdae Walker,WR,CHI,,,3
Greg Dortch,WR,ARI,,,4
Laviska Shenault Jr.,WR,BUF,,,7
Tyler Badie,RB,DEN,,,4
Tyler Lockett,WR,LV,,,5
Michael Pittman Jr.,WR,PIT,,,2
Grant DuBose,WR,BUF,,,11
Juwann Winfree,WR,HOU,,,9
David Bell,WR,CLE,,,8
Brenden Bates,TE,CLE,,,3
Joshua Palmer,WR,BUF,,,3
Jabari Small,RB,DET,,,5
Dennis Houston,WR,TB,,,7
Irvin Charles,WR,NYJ,,,5
Jauan Jennings,WR,SF,,,3
Max Brosmer,QB,MIN,,,3
Tee Higgins,WR,CIN,,,2
Silas Bolden,WR,MIN,,,12
Treylon Burks,WR,WAS,,,5
Tim Patrick,WR,JAX,,,5
Isaiah Davis,RB,NYJ,,,3
Baylor Cupp,TE,BAL,,,6
Tru Edwards,WR,LA,,,8
DeAndre Hopkins,WR,BAL,,,3
Montrell Johnson Jr.,RB,CAR,,,4
Justice Hill,RB,BAL,,,2
Jha'Quan Jackson,WR,TEN,,,8
Quintez Cephus,WR,HOU,,,9
Graham Mertz,QB,HOU,,,3
Phil Mafah,RB,DAL,,,4
Ke'Shawn Williams,WR,CIN,,,6
Josh Downs,WR,IND,,,2
Michael Bandy,WR,DEN,,,6
LeQuint Allen Jr.,RB,JAX,,,3
Konata Mumpfield,WR,LA,,,3
Mac Jones,QB,SF,,,2
Case Keenum,QB,CHI,,,3
Tyquan Thornton,WR,KC,,,3
DJ Chark,WR,ATL,,,8
Trey Benson,RB,ARI,,,3
DJ Turner,WR,LV,,,7
Drew Ogletree,TE,IND,,,3
Tyrell Shavers,WR,BUF,,,5
David Moore,WR,CAR,,,7
Jordan Moore,WR,CIN,,,8
Sam Howell,QB,DAL,,,3
Terrell Jennings,RB,NE,,,3
Kaden Davis,WR,CLE,,,7
Spencer Rattler,QB,NO,,,2
Andre Baccellia,WR,ARI,,,5
Will Sheppard,WR,GB,,,10
Tutu Atwell,WR,MIA,,,4
LaJohntay Wester,WR,BAL,,,4
Jake Briningstool,TE,KC,,,4
Elijah Dotson,RB,ATL,,,5
Jalen Brooks,WR,ARI,,,7
Zamir White,RB,LV,,,3
Brian Robinson Jr.,RB,SF,,,2
Dalton Keene,TE,HOU,,,7
James Mitchell,TE,CAR,,,4
Mac Dalena,WR,NYJ,,,8
Cole Kmet,TE,CHI,,,2
Ray Davis,RB,BUF,,,3
Matt Landers,WR,TEN,,,8
Avery Williams,WR,NYJ,,,6
River Cracraft,WR,WAS,,,5
Carter Runyon,TE,LV,,,3
Will Levis,QB,TEN,,,3
Jayden Higgins,WR,HOU,,,2
Kristian Wilkerson,WR,BUF,,,9
Kedon Slovis,QB,ARI,,,3
Hassan Haskins,RB,LAC,,,4
Chimere Dike,WR,TEN,,,4
Travis Hunter,WR,JAX,,,4
Devaughn Vele,WR,NO,,,2
Deven Thompkins,WR,ATL,,,5
Michael Mayer,TE,LV,,,2
Tyler Huntley,QB,BAL,,,2
Trey Sermon,RB,PIT,,,4
Israel Abanikanda,RB,DAL,,,5
Mark Redman,TE,LA,,,5
George Pickens,WR,DAL,,,2
KeAndre Lambert-Smith,WR,LAC,,,4
Lance McCutcheon,WR,PIT,,,8
Marcus Mariota,QB,WAS,,,2
Jalen Cropper,WR,DAL,,,6
Cam Grandy,TE,CIN,,,5
Quez Watkins,WR,PHI,,,6
Isiah Pacheco,RB,DET,,,2
Dominic Lovett,WR,DET,,,4
British Brooks,RB,HOU,,,4
Royce Freeman,RB,CHI,,,6
John FitzPatrick,TE,GB,,,2
Kene Nwangwu,RB,NYJ,,,5
Josh Reynolds,WR,NYJ,,,2
Keilan Robinson,RB,PHI,,,5
Luther Burden III,WR,CHI,,,2
Michael Carter,RB,ARI,,,4
Jason Bean,QB,IND,,,4
Donald Parham Jr.,TE,PIT,,,3
Xavier Gipson,WR,NYG,,,10
Tommy DeVito,QB,NE,,,3
Elijah Cooks,WR,NO,,,10
Patrick Herbert,TE,JAX,,,4
Emani Bailey,RB,CAR,,,5
Jonathan Ward,RB,NYG,,,6
TreVeyon Henderson,RB,NE,,,2
Evan Hull,RB,NO,,,6
Mo Alie-Cox,TE,IND,,,2
Donovan Edwards,RB,MIA,,,4
Sal Cannella,TE,CLE,,,4
Samori Toure,WR,NO,,,9
Danny Gray,WR,PHI,,,7
Bo Melton,WR,GB,,,6
Shawn Bowman,TE,JAX,,,6
Kye Robichaux,RB,DET,,,6
Tanner Mordecai,QB,SF,,,5
Ashton Dulin,WR,IND,,,3
Lan Larison,RB,NE,,,5
George Holani,RB,SEA,,,3
Ronnie Rivers,RB,LA,,,3
Tommy Tremble,TE,CAR,,,2
Cade Stover,TE,HOU,,,3
Seth Henigan,QB,IND,,,4
Terrance Ferguson,TE,LA,,,3
